"","p_value","morans_test_statistic","morans_I","q_value","pseudotime_module"
"1",0.16405950205546,0.977909665833631,0.00716157642394863,0.532163811189333,1
"2",0.64571081205123,-0.373766055466631,-0.0036361249878121,0.850919438863987,1
"3",0.131854923371719,1.11766558417745,0.00675956133165002,0.462068852949081,1
"4",NA,NA,NA,1,1
"5",NA,NA,NA,1,1
"6",NA,NA,NA,1,1
"7",0.948580820298395,-1.63124629966922,-0.0142290057338501,0.9593751066243,1
"8",0.017518633313125,2.10792743593019,0.0164516721117022,0.118701933419538,1
"9",0.145959544575701,1.05392099639038,0.00780879163489231,0.495074822039248,1
"10",0.548273301921835,-0.121300030128367,-0.0018609352821564,0.850919438863987,1
"11",0.619061650832661,-0.303017272718964,-0.0033923938903018,0.850919438863987,1
"12",0.315100865837097,0.481442929778175,0.00278534104498553,0.744371246956753,1
"13",0.338195856393246,0.417391989984488,-0.000797357572891857,0.769183435711513,1
"14",0.00150573780441189,2.96656411867308,0.0236121131233907,0.0165095977664921,1
"15",0.221716678227853,0.76640836601296,0.0053400854005864,0.623637368550299,1
"16",NA,NA,NA,1,1
"17",0.697706410299522,-0.517815246863204,-0.00500188142911933,0.851682244901565,1
"18",2.06758253769526e-07,5.06262787932307,0.0409380693826763,5.91387030405144e-06,1
"19",0.208760342861522,0.810730096598279,0.00534479987097263,0.608014493188337,1
"20",0.321104339357726,0.464612919397517,0.00290608889474332,0.748688689155403,1
"21",0.581209395988329,-0.204988374429778,-0.00253551805422546,0.850919438863987,1
"22",0.0281282747048823,1.90904296451794,0.0148000316122551,0.168862327882358,1
"23",6.45612357887498e-08,5.28008712675086,0.0427590366879555,2.00051992529085e-06,1
"24",2.41291384785752e-06,4.57222047336954,0.0366666131672671,5.73185010534082e-05,1
"25",0.703389604936945,-0.534174528505569,-0.00496763205163507,0.852209405371751,1
"26",0.11975928700925,1.17619096521867,0.00880519446200261,0.43483742712406,1
"27",0.57233992356219,-0.182334592393138,-0.00236846787484825,0.850919438863987,1
"28",2.13796807447266e-06,4.5974985442516,0.0371065896613927,5.13225010762739e-05,1
