"","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18"
"Mlph",1,0.819539523043304,0.572682226086285,0.0891736561992843,0,0.184944618018583,0.313843589815773,0.313019932862464,0.278788248732567,0.248062849493696,0.221958005116602,0.20085788769454,0.18303663989922,0.169283585402538,0.160191866115619,0.152356046005112,0.157379259658358,0.245397217296381,0.029219649713665
"Lrrfip1",1,0.847210359964025,0.803351447492,0.626019046397922,0,0.704861754996625,0.732632139861344,0.70127086329934,0.722921410703647,0.688612611192983,0.693960831620429,0.550643298540811,0.398280497914789,0.351089661147133,0.388098255481635,0.394042983201054,0.355506781312594,0.450379162277096,0.00583496247103018
"Mgat5",1,0.871977529336961,0.841696507801328,0.860262452034487,0.766002264936049,0.708094283001988,0.815561821886554,0.761261303312868,0.717062669795814,0.700909164129796,0.719531472190129,0.680879141715376,0.617419509859054,0.520649272266615,0.523729142463018,0.514453347482402,0.406074272041862,0.496031406410268,0
"Srgap2",1,0.862368481176966,0.845215067570819,0.928918774322346,0.214044685054872,0.768059411528522,0.818676235765759,0.737915217855186,0.734162886127332,0.69725374719424,0.740543891344482,0.684457083006597,0.680088887105912,0.584391442031597,0.589722699111358,0.52556909589249,0.404613143761759,0.506877741398194,0
"Gm4258",1,0.856575496554828,0.825512260308841,0.733834913746239,0.0260380731833465,0.693431673476397,0.750091381381137,0.69025401597958,0.686944681399123,0.653336992229693,0.705776225421209,0.622743997623284,0.663434663423873,0.659859828112314,0.695892785106861,0.724372517479888,0.833189128276622,0.754909743977174,0
"Gm26936",1,0.805667998134159,0.604141055326041,0.106029019128785,0,0.174956634297594,0.305367231453845,0.304133663361926,0.271414382711954,0.242825278704418,0.217710675818305,0.197085185665437,0.179575521898648,0.165898826092233,0.156738614064048,0.149437708568343,0.15593322344128,0.237035090950811,0.0333995354644218
"Gm28501",1,0.792436812572466,0.644474779315233,0.293145459812792,0.0827053267031344,0.740921611293133,0.802372140660545,0.915861908962631,0.528850284625314,0.412689065982364,0.366314494141276,0.309728328652503,0.303190956085149,0.311762745252883,0.328938513678422,0.326104462672555,0.293180063432652,0.445666853664338,0
"Dennd1b",1,0.862157642080774,0.845018530320139,0.930391934382508,0.218265517277011,0.768041433335691,0.818922671843978,0.738409431329802,0.73408420564308,0.696270500827595,0.739576147578499,0.683098784929141,0.675947063861825,0.578541169954352,0.584285505257436,0.520899713166389,0.403392809503902,0.504482381024395,0
"Cdc73",1,0.858283656466986,0.826004533995966,0.767916286117677,0.0302067175348492,0.717489274062093,0.756140099969357,0.686082174175034,0.69204293976643,0.662959247165583,0.715724262920571,0.69707599971962,0.747670668129681,0.632890671704374,0.573526225846456,0.46441822176458,0.404904263870053,0.504049686142887,0
"Gm15486",1,0.0691789052423689,0.0518569562301011,0.0025729771167096,0,0.0246176330613116,0.0228780335852291,0.0188154802975728,0.0139313646476258,0.00842259125274895,0.0045766680895065,0.00294390676583891,0.00253622959849379,0.00227048596540187,0.00166690547547032,0.000857909362596765,0.000437415622141035,0.00100054380319191,0.00214447301805968
"Nos1ap",1,0.849536768067514,0.805112493808869,0.749190762571379,0,0.772950767445397,0.776415507095057,0.695902621107385,0.524349371432552,0.446812621812516,0.452328017021196,0.369454745971562,0.326804330156929,0.322879386631089,0.342650846660321,0.35044303679944,0.323127408108807,0.428118008997757,0.0293276659123024
"F11r",1,0.890409062520099,0.853922188944225,0.811378947378408,0.867440986501782,0.725313797685068,0.841098561653932,0.790931603198226,0.746737151835174,0.761236157007679,0.777522444678561,0.754822460172471,0.704342409149808,0.640936779814572,0.629090278032743,0.655184075790838,0.446106081907497,0.566466699866397,0
"Ifi214",1,0.0691789052423689,0.0518569562301011,0.0025729771167096,0,0.0246176330613116,0.0228780335852291,0.0188154802975728,0.0139313646476258,0.00842259125274895,0.0045766680895065,0.00294390676583891,0.00253622959849379,0.00227048596540187,0.00166690547547032,0.000857909362596765,0.000437415622141035,0.00100054380319191,0.00214447301805968
"Cep170",1,0.839020546812263,0.720239298058247,0.385513710286461,0.000439032733345324,0.766827236822296,0.731017474188885,0.675573448209814,0.372439853271132,0.34897681104637,0.334238859733292,0.28109510563085,0.267592934573079,0.27166777786738,0.285598039794374,0.287527678341179,0.262225338088776,0.394694980011108,0
"Sdccag8",1,0.843586771463234,0.780121390449355,0.483296624215264,0.00268278375327114,0.627732948143875,0.68379125344317,0.663072695239363,0.629474308927215,0.612488431308075,0.715824762509949,0.875675505740133,0.750081769920742,0.461736315821036,0.37854294377268,0.389833331747612,0.386905800801275,0.486255830108167,0
