,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Z1,Z2
Il1rl2,0.11268641,-0.16497691,-0.14304544,1.0327189,-0.94973856,-0.39515477,-0.36118877,-0.44801652,-0.4747377,-0.49756777,-0.52216053,-0.5539597,-0.58284634,-0.6007461,-0.60980517,-0.6322261,-0.642949,-0.4968065,-0.98377424,-0.40063583850860596,1.411184549331665
Tpp2,0.5594605,0.28637952,0.10926952,-0.45791006,-0.95519775,0.10254645,0.14712952,0.27044737,-0.007007763,-0.28484625,-0.38054633,-0.509239,-0.53380096,-0.5196803,-0.49042028,-0.48671043,-0.53367454,-0.3306449,-0.9677661,-0.049627192318439484,0.34116074442863464
Slc40a1,0.56565404,0.314866,0.19962077,-0.29232186,-0.98861545,0.03847076,0.10018569,0.07256815,0.11804455,0.20150346,0.1961063,-0.12785216,-0.42794,-0.4716645,-0.41883993,-0.3916518,-0.44835466,-0.26779222,-0.9740278,-0.17002242803573608,-0.003999173641204834
Myo1b,0.48795277,0.25330436,0.15560746,-0.31146812,-0.96557325,-0.09331255,0.0012820736,-0.017369539,-0.07973519,-0.115772605,0.004558429,0.35612983,0.2139995,-0.26946306,-0.41827255,-0.4143861,-0.41028804,-0.25784165,-0.9822642,-0.13873478770256042,-0.18993808329105377
Stat4,-0.9641226,-0.91259634,-0.8827678,-0.91760844,-0.95732564,-0.9530118,-0.93807214,-0.9394056,-0.9354654,-0.93301016,-0.9359763,-0.94877654,-0.9660432,-0.96962446,-0.9559656,-0.928695,-0.8708873,1.041916,-0.95478684,1.4931600093841553,-1.4951744079589844
Pgap1,-0.7400704,-0.73851746,-0.71024907,-0.76831836,-0.89145017,-0.80257636,-0.7643033,-0.76360536,-0.7433478,-0.7389503,-0.7533914,-0.7822627,-0.79984313,-0.7621596,-0.71443105,-0.76061124,0.7889621,-0.040795587,-0.96489304,0.9786502122879028,-1.071323037147522
Ankrd44,0.4610409,0.28671157,0.2400457,0.06345578,0.899593,0.26665127,0.22604169,0.13948336,0.1404514,0.14010203,0.1531861,0.100471005,0.0408241,-0.0785895,-0.06845151,-0.0742988,-0.25276834,-0.09511651,-0.9523656,-1.5928878784179688,0.008974716067314148
4930444A19Rik,0.2069534,0.044169195,0.033277657,-0.21000479,0.86891544,0.2384272,0.05015711,-0.026629582,-0.014834456,-0.037445493,-0.026157565,-0.06778999,-0.13771513,-0.21328162,-0.20096864,-0.19918074,-0.29901165,-0.17959245,-0.94883364,-1.6944215297698975,0.5871778726577759
Sf3b1,0.76802725,0.5537217,0.4953792,0.48721415,0.4990853,0.24081442,0.4396516,0.35260332,0.2760436,0.26273426,0.2874411,0.23021352,0.119554415,-0.0423785,-0.044591293,-0.051343657,-0.25284624,-0.092022866,-0.96239775,-1.0508248805999756,-0.31095606088638306
Plcl1,-0.48019707,-0.44721997,-0.44016373,-0.42784226,-0.41325527,-0.41192418,-0.47589862,-0.4481709,-0.4666043,-0.49054688,-0.51179916,-0.5391095,-0.5740499,-0.6082682,-0.6234818,-0.6313423,-0.66970664,-0.7043577,1.0107515,0.36209139227867126,-2.343787908554077
Sgo2a,-1.1010599,-0.98308724,1.0520352,-1.0453897,-0.987724,-0.9870556,-0.9804538,-0.992534,-1.0093957,-1.0155349,-1.0181457,-1.0206577,-1.0226461,-1.0239334,-1.0251573,-1.0266851,-1.0280474,-1.0281386,-1.0263264,2.2177178859710693,0.8708533048629761
Clk1,0.75056493,0.5339469,0.5131412,0.61499035,-0.47450346,0.38006812,0.49554634,0.35678965,0.32819116,0.30598336,0.37788475,0.28154045,0.3068586,0.22751346,0.25493795,0.23996551,-0.13762686,0.059902277,-0.95554084,-0.877216100692749,-0.5860406756401062
